,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
68,69,318,109,3,3.5,4.0,9.22,1,0.68
286,287,336,118,5,4.5,4.0,9.19,1,0.92
371,372,324,110,3,3.5,3.0,9.22,1,0.89
203,204,334,120,5,4.0,5.0,9.87,1,0.97
398,399,312,103,3,3.5,4.0,8.78,0,0.67
471,472,311,103,3,2.0,4.0,8.09,0,0.64
323,324,305,102,2,2.0,2.5,8.18,0,0.62
369,370,301,98,1,2.0,3.0,8.03,1,0.67
109,110,304,103,5,5.0,4.0,8.64,0,0.68
358,359,314,105,2,2.5,2.0,7.64,0,0.7
82,83,320,110,5,5.0,4.5,9.22,1,0.92
316,317,298,101,2,1.5,2.0,7.86,0,0.54
201,202,315,110,2,3.5,3.0,8.46,1,0.72
25,26,340,120,5,4.5,4.5,9.6,1,0.94
113,114,320,110,2,4.0,3.5,8.56,0,0.72
80,81,312,105,3,2.0,3.0,8.02,1,0.5
122,123,310,106,4,1.5,2.5,8.36,0,0.57
450,451,320,112,4,3.0,4.5,8.86,1,0.82
272,273,294,95,1,1.5,1.5,7.64,0,0.49
154,155,326,108,3,3.0,3.5,8.89,0,0.8
144,145,325,112,2,3.0,3.5,8.96,1,0.8
470,471,320,110,5,4.0,4.0,9.27,1,0.87
16,17,317,107,3,4.0,3.0,8.7,0,0.66
225,226,296,99,2,2.5,2.5,8.03,0,0.61
105,106,316,110,3,4.0,4.5,8.78,1,0.69
414,415,321,110,4,3.5,4.0,8.35,1,0.72
191,192,323,110,5,4.0,5.0,8.98,1,0.87
250,251,320,104,3,3.0,2.5,8.57,1,0.74
380,381,322,104,3,3.5,4.0,8.84,1,0.78
467,468,318,101,5,3.5,5.0,8.78,1,0.78
235,236,326,111,5,4.5,4.0,9.23,1,0.88
210,211,325,108,4,4.5,4.0,9.06,1,0.79
481,482,323,107,4,3.0,2.5,8.48,1,0.78
167,168,313,102,3,2.0,3.0,8.27,0,0.64
124,125,301,106,4,2.5,3.0,8.47,0,0.57
439,440,312,105,2,1.5,3.0,8.46,0,0.66
28,29,295,93,1,2.0,2.0,7.2,0,0.46
452,453,328,116,4,5.0,3.5,9.6,1,0.93
79,80,294,93,1,1.5,2.0,7.36,0,0.46
169,170,311,99,2,2.5,3.0,7.98,0,0.65
64,65,325,111,3,3.0,3.5,8.7,0,0.52
489,490,302,110,3,4.0,4.5,8.5,0,0.65
133,134,323,112,5,4.0,4.5,8.78,0,0.79
223,224,308,109,2,3.0,4.0,8.45,0,0.71
216,217,322,112,4,4.5,4.5,9.26,1,0.91
112,113,301,107,3,3.5,3.5,8.34,1,0.62
499,500,327,113,4,4.5,4.5,9.04,0,0.84
232,233,312,107,2,2.5,3.5,8.27,0,0.69
188,189,331,115,5,4.5,3.5,9.36,1,0.93
3,4,322,110,3,3.5,2.5,8.67,1,0.8
334,335,312,107,4,4.5,4.0,8.65,1,0.73
86,87,315,106,3,4.5,3.5,8.42,0,0.72
495,496,332,108,5,4.5,4.0,9.02,1,0.87
76,77,327,112,3,3.0,3.0,8.72,1,0.74
150,151,334,114,4,4.0,4.0,9.43,1,0.93
4,5,314,103,2,2.0,3.0,8.21,0,0.65
451,452,324,113,4,4.5,4.5,9.25,1,0.89
236,237,325,112,4,4.0,4.5,9.17,1,0.85
472,473,327,116,4,4.0,4.5,9.48,1,0.9
62,63,304,105,2,3.0,3.0,8.2,1,0.54
336,337,319,110,3,3.0,2.5,8.79,0,0.72
404,405,311,101,3,2.0,2.5,7.64,1,0.62
108,109,331,116,5,5.0,5.0,9.38,1,0.93
298,299,330,114,3,4.5,4.5,9.24,1,0.9
307,308,325,112,4,4.0,4.0,9.0,1,0.8
368,369,298,92,1,2.0,2.0,7.88,0,0.51
326,327,299,100,3,2.0,2.0,8.02,0,0.63
214,215,331,117,4,4.5,5.0,9.42,1,0.94
213,214,333,119,5,5.0,4.5,9.78,1,0.96
11,12,327,111,4,4.0,4.5,9.0,1,0.84
482,483,328,113,4,4.0,2.5,8.77,1,0.83
101,102,312,105,2,2.5,3.0,8.12,0,0.64
374,375,315,105,2,2.0,2.5,7.65,0,0.39
455,456,305,102,2,1.5,2.5,7.64,0,0.59
402,403,324,109,3,3.5,3.0,8.94,1,0.78
333,334,319,108,3,3.0,3.5,8.54,1,0.71
221,222,316,110,3,3.5,4.0,8.56,0,0.75
161,162,298,99,1,1.5,3.0,7.46,0,0.53
483,484,304,103,5,5.0,3.0,7.92,0,0.71
19,20,303,102,3,3.5,3.0,8.5,0,0.62
310,311,320,104,3,3.0,3.5,8.74,1,0.76
139,140,318,109,1,3.5,3.5,9.12,0,0.78
432,433,324,112,4,4.5,4.0,9.22,1,0.86
344,345,295,96,2,1.5,2.0,7.34,0,0.47
325,326,326,116,3,3.5,4.0,9.14,1,0.81
409,410,300,98,1,2.0,2.5,8.02,0,0.61
485,486,311,101,2,2.5,3.5,8.34,1,0.7
296,297,310,107,3,3.5,3.5,8.67,0,0.76
356,357,327,109,3,3.5,4.0,8.77,1,0.79
292,293,302,99,2,1.0,2.0,7.97,0,0.56
423,424,334,119,5,4.5,5.0,9.54,1,0.94
328,329,324,112,4,4.0,3.5,8.77,1,0.8
207,208,310,102,3,3.5,4.0,8.02,1,0.66
215,216,330,116,5,5.0,4.5,9.36,1,0.93
420,421,299,100,3,2.0,3.0,7.42,0,0.42
61,62,307,101,3,4.0,3.0,8.2,0,0.47
135,136,314,109,4,3.5,4.0,8.77,1,0.82
327,328,295,101,2,2.5,2.0,7.86,0,0.69
125,126,300,100,3,2.0,3.0,8.66,1,0.64
255,256,307,110,4,4.0,4.5,8.37,0,0.79
92,93,298,98,2,4.0,3.0,8.03,0,0.34
294,295,316,101,2,2.5,2.0,8.32,1,0.61
138,139,326,116,2,4.5,3.0,9.08,1,0.8
290,291,307,105,2,2.5,3.0,7.65,0,0.58
287,288,324,114,5,5.0,4.5,9.08,1,0.89
384,385,340,113,4,5.0,5.0,9.74,1,0.96
209,210,301,104,3,3.5,4.0,8.12,1,0.68
114,115,311,105,3,3.5,3.0,8.45,1,0.59
171,172,334,117,5,4.0,4.5,9.07,1,0.89
6,7,321,109,3,3.0,4.0,8.2,1,0.75
332,333,308,106,3,3.5,2.5,8.21,1,0.75
491,492,297,99,4,3.0,3.5,7.81,0,0.54
405,406,302,99,3,2.5,3.0,7.45,0,0.52
172,173,322,110,4,4.0,5.0,9.13,1,0.86
65,66,325,112,4,3.5,3.5,8.92,0,0.55
487,488,327,115,4,3.5,4.0,9.14,0,0.79
247,248,311,104,2,2.5,3.5,8.48,0,0.71
200,201,317,103,3,2.5,3.0,8.54,1,0.73
227,228,312,110,2,3.5,3.0,8.53,0,0.64
469,470,326,114,4,4.0,3.5,9.16,1,0.86
493,494,300,95,2,3.0,1.5,8.22,1,0.62
37,38,300,105,1,1.0,2.0,7.8,0,0.58
285,286,331,116,5,4.0,4.0,9.26,1,0.93
149,150,311,106,2,3.5,3.0,8.26,1,0.79
352,353,303,100,2,3.0,3.5,8.06,1,0.64
477,478,309,105,4,3.5,2.0,8.18,0,0.65
15,16,314,105,3,3.5,2.5,8.3,0,0.54
73,74,314,108,4,4.5,4.0,9.04,1,0.84
33,34,340,114,5,4.0,4.0,9.6,1,0.9
118,119,296,99,2,3.0,3.5,7.28,0,0.47
153,154,324,105,3,3.0,4.0,8.75,0,0.79
484,485,317,106,3,3.5,3.0,7.89,1,0.73
100,101,322,107,3,3.5,3.5,8.46,1,0.71
156,157,315,105,3,2.0,2.5,8.34,0,0.7
364,365,313,102,3,3.5,4.0,8.9,1,0.77
448,449,312,109,2,2.5,4.0,9.02,0,0.8
473,474,316,102,2,4.0,3.5,8.15,0,0.67
197,198,310,106,2,3.5,2.5,8.33,0,0.73
288,289,314,104,4,5.0,5.0,9.02,0,0.82
38,39,304,105,1,3.0,1.5,7.5,0,0.52
199,200,313,107,3,4.0,4.5,8.69,0,0.72
350,351,318,107,3,3.0,3.5,8.27,1,0.74
165,166,322,110,5,4.5,4.0,8.97,0,0.78
102,103,314,106,2,4.0,3.5,8.25,0,0.62
425,426,323,111,5,4.0,5.0,9.86,1,0.92
84,85,340,115,5,4.5,4.5,9.45,1,0.94
331,332,311,105,2,3.0,2.0,8.12,1,0.73
116,117,299,102,3,4.0,3.5,8.62,0,0.56
78,79,296,95,2,3.0,2.0,7.54,1,0.44
155,156,312,109,3,3.0,3.0,8.69,0,0.77
158,159,306,106,2,2.0,2.5,8.14,0,0.61
412,413,314,102,4,2.5,2.0,7.88,1,0.59
137,138,316,100,2,1.5,3.0,8.16,1,0.71
46,47,329,114,5,4.0,5.0,9.3,1,0.86
314,315,305,105,2,3.0,4.0,8.13,0,0.66
342,343,308,106,3,3.0,3.0,8.24,0,0.58
259,260,331,119,4,5.0,4.5,9.34,1,0.9
329,330,297,96,2,2.5,1.5,7.89,0,0.43
23,24,334,119,5,5.0,4.5,9.7,1,0.95
47,48,339,119,5,4.5,4.0,9.7,0,0.89
88,89,314,108,3,4.5,3.5,8.14,0,0.64
208,209,305,106,2,3.0,3.0,8.16,0,0.64
353,354,300,102,3,3.5,2.5,8.17,0,0.63
196,197,306,105,2,3.0,2.5,8.26,0,0.73
147,148,326,114,3,3.0,3.0,9.11,1,0.83
0,1,337,118,4,4.5,4.5,9.65,1,0.92
128,129,326,112,3,3.5,3.0,9.1,1,0.84
219,220,312,104,3,3.5,3.5,8.42,0,0.74
463,464,304,107,3,3.5,3.0,7.86,0,0.57
293,294,312,98,1,3.5,3.0,8.18,1,0.64
394,395,329,111,4,4.5,4.0,9.23,1,0.89
148,149,339,116,4,4.0,3.5,9.8,1,0.96
400,401,304,100,2,3.5,3.0,8.22,0,0.63
449,450,315,101,3,3.5,4.5,9.13,0,0.79
426,427,312,106,3,3.0,5.0,8.57,0,0.71
295,296,317,100,2,3.0,2.5,8.57,0,0.68
140,141,329,110,2,4.0,3.0,9.15,1,0.84
119,120,327,104,5,3.0,3.5,8.84,1,0.71
252,253,318,100,2,2.5,3.5,8.54,1,0.71
372,373,336,119,4,4.5,4.0,9.62,1,0.95
431,432,320,112,2,3.5,3.5,8.78,1,0.73
346,347,304,97,2,1.5,2.0,7.64,0,0.47
265,266,313,102,3,2.5,2.5,8.68,0,0.71
198,199,311,104,3,4.5,4.5,8.43,0,0.7
447,448,320,108,3,3.5,5.0,8.97,1,0.84
69,70,328,115,4,4.5,4.0,9.16,1,0.78
168,169,293,97,2,2.0,4.0,7.8,1,0.64
174,175,321,111,4,4.0,4.0,8.97,1,0.87
93,94,301,97,2,3.0,3.0,7.88,1,0.44
164,165,329,111,4,4.5,4.0,9.01,1,0.81
245,246,328,110,4,4.0,2.5,9.02,1,0.81
275,276,322,110,3,3.5,3.0,8.96,1,0.78
98,99,332,119,4,5.0,4.5,9.24,1,0.9
444,445,324,113,5,4.0,5.0,9.25,1,0.92
490,491,307,105,2,2.5,4.5,8.12,1,0.67
77,78,301,99,2,3.0,2.0,8.22,0,0.64
396,397,325,107,3,3.0,3.5,9.11,1,0.84
338,339,323,108,5,4.0,4.0,8.74,1,0.81
34,35,331,112,5,4.0,5.0,9.8,1,0.94
175,176,320,111,4,4.5,3.5,8.87,1,0.85
260,261,327,108,5,5.0,3.5,9.13,1,0.87
217,218,321,109,4,4.0,4.0,9.13,1,0.85
123,124,308,108,3,3.5,3.5,8.22,0,0.61
117,118,290,104,4,2.0,2.5,7.46,0,0.45
152,153,321,112,5,5.0,5.0,9.06,1,0.86
75,76,329,114,2,2.0,4.0,8.56,1,0.72
413,414,317,101,3,3.0,2.0,7.94,1,0.49
205,206,295,99,2,2.5,3.0,7.65,0,0.57
22,23,328,116,5,5.0,5.0,9.5,1,0.94
361,362,334,116,4,4.0,3.5,9.54,1,0.93
392,393,326,112,4,4.0,3.5,9.12,1,0.84
264,265,325,110,2,3.0,2.5,8.76,1,0.75
239,240,299,100,1,1.5,2.0,7.89,0,0.59
343,344,305,103,2,2.5,3.5,8.13,0,0.59
422,423,322,112,4,3.5,2.5,9.02,1,0.73
85,86,319,103,4,4.5,3.5,8.66,0,0.76
87,88,317,107,2,3.5,3.0,8.28,0,0.66
460,461,319,105,4,4.0,4.5,8.66,1,0.77
302,303,322,105,2,3.0,3.0,8.45,1,0.65
218,219,324,110,4,3.0,3.5,8.97,1,0.84
126,127,323,113,3,4.0,3.0,9.32,1,0.85
417,418,316,103,3,3.5,2.0,7.68,0,0.52
83,84,322,115,5,4.0,4.5,9.36,1,0.92
231,232,319,106,3,3.5,2.5,8.33,1,0.74
127,128,319,112,3,2.5,2.0,8.71,1,0.78
103,104,317,104,2,4.5,4.0,8.47,0,0.57
57,58,298,99,2,4.0,2.0,7.6,0,0.46
67,68,316,107,2,3.5,3.5,8.64,1,0.57
397,398,330,116,4,5.0,4.5,9.45,1,0.91
1,2,324,107,4,4.0,4.5,8.87,1,0.76
351,352,325,110,4,3.5,4.0,8.67,1,0.73
488,489,322,112,3,3.0,4.0,8.62,1,0.76
366,367,320,104,3,3.5,4.5,8.34,1,0.74
466,467,314,99,4,3.5,4.5,8.73,1,0.71
282,283,312,106,3,4.0,3.5,8.79,1,0.81
146,147,315,105,3,2.0,2.5,8.48,0,0.75
359,360,321,107,2,2.0,1.5,8.44,0,0.81
381,382,319,105,3,3.0,3.5,8.67,1,0.73
354,355,297,98,2,2.5,3.0,7.67,0,0.59
96,97,306,100,2,3.0,3.0,8.0,0,0.48
299,300,305,112,3,3.0,3.5,8.65,0,0.71
230,231,313,104,3,4.0,4.5,8.65,0,0.73
170,171,312,101,2,2.5,3.5,8.04,1,0.68
18,19,318,110,3,4.0,3.0,8.8,0,0.63
90,91,318,106,2,4.0,4.0,7.92,1,0.64
59,60,311,104,2,2.0,2.0,8.3,0,0.42
55,56,320,103,3,3.0,3.0,7.7,0,0.64
309,310,308,110,4,3.5,3.0,8.6,0,0.7
421,422,321,112,3,3.0,4.5,8.95,1,0.77
257,258,324,100,3,4.0,5.0,8.64,1,0.78
120,121,335,117,5,5.0,5.0,9.56,1,0.94
193,194,336,118,5,4.5,5.0,9.53,1,0.94
220,221,313,103,3,4.0,4.0,8.75,0,0.76
479,480,325,110,4,4.5,4.0,8.96,1,0.79
249,250,321,111,3,3.5,4.0,8.83,1,0.77
160,161,315,103,1,1.5,2.0,7.86,0,0.57
157,158,309,104,2,2.0,2.5,8.26,0,0.65
386,387,302,101,2,2.5,3.5,7.96,0,0.46
5,6,330,115,5,4.5,3.0,9.34,1,0.9
233,234,304,100,2,2.5,3.5,8.07,0,0.64
403,404,330,116,4,4.0,3.5,9.23,1,0.91
418,419,309,111,2,2.5,4.0,8.03,0,0.6
335,336,325,111,4,4.0,4.5,9.11,1,0.83
378,379,303,98,1,2.0,2.5,7.65,0,0.56
162,163,318,109,3,3.0,3.0,8.5,0,0.67
322,323,314,107,2,2.5,4.0,8.27,0,0.72
186,187,317,107,3,3.5,3.0,8.68,1,0.84
244,245,314,107,2,2.5,4.0,8.56,0,0.63
393,394,317,104,2,3.0,3.0,8.76,0,0.77
311,312,328,108,4,4.5,4.0,9.18,1,0.84
415,416,327,106,4,4.0,4.5,8.75,1,0.76
115,116,310,106,4,4.5,4.5,9.04,1,0.66
163,164,317,105,3,3.5,3.0,8.56,0,0.68
411,412,313,94,2,2.5,1.5,8.13,0,0.56
277,278,320,101,2,2.5,3.0,8.62,0,0.7
279,280,304,102,2,3.0,4.0,8.73,0,0.67
206,207,315,99,2,3.5,3.0,7.89,0,0.63
248,249,324,110,3,3.5,4.0,8.87,1,0.8
66,67,327,114,3,3.0,3.0,9.02,0,0.61
246,247,316,105,3,3.0,3.5,8.73,0,0.72
395,396,324,110,3,3.5,3.5,9.04,1,0.82
407,408,298,100,3,2.5,4.0,7.95,1,0.58
430,431,311,104,3,4.0,3.5,8.13,1,0.74
106,107,329,111,4,4.5,4.5,9.18,1,0.87
308,309,312,108,3,3.5,3.0,8.53,0,0.69
498,499,312,103,4,4.0,5.0,8.43,0,0.73
194,195,316,109,3,3.5,3.0,8.76,0,0.77
40,41,308,110,3,3.5,3.0,8.0,1,0.46
388,389,296,97,2,1.5,2.0,7.8,0,0.49
224,225,305,105,2,3.0,2.0,8.23,0,0.67
383,384,300,100,3,3.0,3.5,8.26,0,0.62
129,130,333,118,5,5.0,5.0,9.35,1,0.92
178,179,309,108,3,2.5,3.0,8.12,0,0.72
480,481,321,102,3,3.5,4.0,9.01,1,0.8
10,11,325,106,3,3.5,4.0,8.4,1,0.52
195,196,307,107,2,3.0,3.5,8.52,1,0.78
24,25,336,119,5,4.0,3.5,9.8,1,0.97
270,271,306,105,2,2.5,3.0,8.22,1,0.72
318,319,324,111,3,2.5,2.0,8.8,1,0.79
291,292,300,102,2,1.5,2.0,7.87,0,0.56
43,44,332,117,4,4.5,4.0,9.1,0,0.87
321,322,323,104,3,4.0,4.0,8.44,1,0.73
442,443,331,116,4,4.5,4.5,9.44,1,0.92
253,254,335,115,4,4.5,4.5,9.68,1,0.93
45,46,322,110,5,5.0,4.0,9.1,1,0.88
476,477,304,104,3,2.5,2.0,8.12,0,0.62
424,425,325,114,5,4.0,5.0,9.46,1,0.91
303,304,323,107,3,3.5,3.5,8.55,1,0.73
289,290,313,109,3,4.0,3.5,9.0,0,0.79
315,316,308,104,2,2.5,3.0,8.07,0,0.65
355,356,317,106,2,2.0,3.5,8.12,0,0.73
465,466,305,96,4,3.0,4.5,8.26,0,0.54
74,75,314,106,3,3.0,5.0,8.9,0,0.74
478,479,318,103,3,4.0,4.5,8.49,1,0.71
375,376,304,101,2,2.0,2.5,7.66,0,0.38
89,90,316,109,4,4.5,3.5,8.76,1,0.74
212,213,338,120,4,5.0,5.0,9.66,1,0.95
363,364,306,103,2,2.5,3.0,8.36,0,0.69
281,282,317,110,3,4.0,4.5,9.11,1,0.8
145,146,320,113,2,2.0,2.5,8.64,1,0.81
12,13,328,112,4,4.0,4.5,9.1,1,0.78
21,22,325,114,4,3.0,2.0,8.4,0,0.7
104,105,326,112,3,3.5,3.0,9.05,1,0.74
391,392,318,106,3,2.0,3.0,8.65,0,0.71
458,459,312,100,1,3.0,3.0,8.53,1,0.69
454,455,310,105,2,3.0,3.5,8.01,0,0.71
179,180,307,102,3,3.0,3.0,8.27,0,0.73
419,420,308,102,2,2.0,3.5,7.98,1,0.58
27,28,298,98,2,1.5,2.5,7.5,1,0.44
36,37,299,106,2,4.0,4.0,8.4,0,0.64
